#    X         Y         F606W       rms      N     F814W      rms       N        RA               DEC               flag  
#
   555.245   617.855     29.7751    9.900     1     33.0021    3.187     2     43.83588988376    -54.14494256621        0
   557.370   681.064     27.6611    0.874     2     27.7131    9.900     1     43.83594133082    -54.14406464563        1
   560.301   663.615     29.8601    9.900     1     33.0021    9.900     1     43.83601053078    -54.14430699655        0
   558.572   685.248     28.9801    9.900     1     28.3831    9.900     1     43.83596990014    -54.14400653297        0
   550.564   691.593     31.9271    2.068     2     28.9201    0.806     2     43.83578014057    -54.14391840902        0
   555.150   689.543     28.3201    9.900     1     27.8141    1.462     2     43.83588883813    -54.14394688021        1
   547.934   713.921     29.6181    0.530     2     28.1751    0.580     2     43.83571816155    -54.14360829278        0
   564.830   652.958     25.4341    0.440     2     29.7591    3.312     2     43.83611773384    -54.14445501175        0
   564.532   719.374     28.2761    1.836     2     27.1261    0.784     3     43.83611178139    -54.14353254947        1
   577.620   725.114     29.4301    9.900     1     28.8861    9.900     1     43.83642218492    -54.14345282118        0
   612.754   682.716     30.7821    9.900     1     29.3851    9.900     1     43.83725449321    -54.14404168162        0
   590.963   697.986     30.3921    9.900     1     29.4371    9.900     1     43.83673808919    -54.14382960168        1
   596.947   692.436     29.4311    9.900     1     29.1101    2.629     2     43.83687987535    -54.14390668445        0
   597.804   701.233     29.6041    9.900     1     31.0201    9.900     1     43.83690033955    -54.14378450122        0
   602.041   707.270     30.7251    9.900     1     28.9511    0.105     2     43.83700089604    -54.14370065091        0
   604.768   697.995     32.2411    9.900     1     29.8411    9.900     1     43.83706539922    -54.14382947192        0
   627.591   640.802     25.1274    0.110     2     24.5911    0.812     2     43.83760559166    -54.14462382671        1
   620.672   667.197     30.1821    9.900     1     29.9001    9.900     1     43.83744197296    -54.14425722475        1
   625.542   728.215     29.3031    0.650     2     30.1931    9.900     1     43.83755843251    -54.14340973436        0
   634.060   720.277     29.2111    9.900     1     28.8751    9.900     1     43.83776025949    -54.14351998356        1
   649.197   627.662     28.8711    0.131     2     28.2061    0.465     2     43.83811765793    -54.14480632280        0
   639.239   654.040     30.6021    2.943     2     31.5321    2.447     2     43.83788197941    -54.14443995800        1
   639.489   665.541     29.8851    1.210     2     28.6951    1.406     3     43.83788809278    -54.14428021870        0
   660.963   682.364     29.4081    0.713     2     29.6941    9.900     1     43.83839750553    -54.14404655397        1
   641.625   697.294     30.1701    4.768     2     28.7041    1.003     2     43.83793924956    -54.14383919550        1
   657.738   687.678     33.9021    9.900     1     28.5191    9.900     1     43.83832112706    -54.14397274809        0
   655.745   692.678     33.9021    4.486     2     33.0021    5.830     2     43.83827395400    -54.14390330298        1
   673.982   726.359     29.8631    9.900     1     28.3091    9.900     1     43.83870688037    -54.14343549592        1
   709.780   612.240     29.3561    0.412     3     29.1401    9.900     1     43.83955384480    -54.14502050050        0
   707.598   720.957     22.1531    9.900     1     33.0181    9.900     1     43.83950380752    -54.14351051356        0
   712.572   736.267     27.6721    0.396     3     26.5301    0.112     4     43.83962197630    -54.14329786881        1
   719.370   635.063     33.9021    9.900     1     29.3571    0.008     2     43.83978158002    -54.14470350492        0
   717.148   678.482     33.9021    9.900     1     30.1431    0.128     2     43.83972957136    -54.14410045229        0
   722.568   681.808     29.8251    9.900     1     29.5021    9.900     1     43.83985812934    -54.14405425508        0
   732.281   711.961     29.4311    2.634     2     28.4971    1.269     2     43.84008888625    -54.14363545191        0
   733.636   714.312     29.1951    1.205     2     28.3031    9.900     1     43.84012104873    -54.14360279803        0
   757.081   627.552     29.0681    0.143     3     28.8901    0.477     2     43.84067559409    -54.14480781338        0
   753.115   649.966     29.4101    9.900     1     33.0021    9.900     1     43.84058190197    -54.14449650313        0
   739.670   707.139     27.4351    0.431     2     26.8381    0.149     2     43.84026400095    -54.14370242289        0
   746.849   705.677     28.6431    9.900     1     27.9771    0.526     2     43.84043418867    -54.14372272636        0
   752.332   698.040     29.0661    1.185     2     29.3811    9.900     1     43.84056407103    -54.14382879597        0
   754.505   709.401     26.9011    0.171     2     26.0401    9.900     1     43.84061576504    -54.14367100049        0
   756.105   703.161     27.1411    0.026     2     26.3071    0.252     4     43.84065360505    -54.14375766829        0
   758.115   706.933     27.7891    9.900     1     26.6451    9.900     1     43.84070131851    -54.14370527769        0
   752.480   711.911     27.4521    0.082     2     26.3781    1.241     2     43.84056779177    -54.14363613940        0
   754.394   706.878     26.6741    0.034     2     25.9101    0.313     2     43.84061309482    -54.14370604287        0
   751.997   709.513     27.5661    0.837     2     26.5391    9.900     1     43.84055630351    -54.14366944577        0
   743.285   735.108     29.7001    9.900     1     27.6681    1.278     4     43.84035013956    -54.14331395575        0
   745.635   720.043     33.9021    9.900     1     25.5361    0.189     3     43.84040562546    -54.14352319512        0
   758.818   725.561     27.6371    9.900     1     25.9611    3.341     2     43.84071826965    -54.14344655019        0
   744.064   720.128     24.8161    9.900     1     25.9131    0.352     3     43.84036837939    -54.14352201508        0
   744.934   717.134     26.5731    9.900     1     25.6151    0.103     3     43.84038896063    -54.14356359892        0
   760.267   723.330     27.1521    0.038     2     25.9311    0.247     3     43.84075259051    -54.14347753640        0
   744.126   715.003     27.2861    9.900     1     26.6381    9.900     1     43.84036977079    -54.14359319700        0
   758.055   721.623     27.4451    0.492     3     26.2221    0.868     4     43.84070011952    -54.14350124596        0
   741.425   716.634     27.0151    9.900     1     26.6471    0.087     3     43.84030575679    -54.14357054471        0
   743.954   712.921     28.0241    9.900     1     27.1551    0.141     2     43.84036566086    -54.14362211429        0
   748.749   712.173     27.9851    9.900     1     26.9281    9.900     1     43.84047933598    -54.14363250173        0
   761.949   720.922     27.9121    9.900     1     26.5401    0.823     3     43.84079243300    -54.14351098092        0
   743.860   716.367     28.3701    9.900     1     27.1281    0.341     2     43.84036348501    -54.14357425228        0
   742.437   714.295     28.8861    9.900     1     28.3451    0.777     2     43.84032971478    -54.14360303111        0
   783.538   665.429     30.0291    9.900     1     29.4251    9.900     1     43.84130346045    -54.14428172457        0
   770.312   701.096     30.0131    9.900     1     28.0621    9.900     1     43.84099041434    -54.14378634450        0
   767.309   723.748     26.6321    0.255     3     25.6421    9.900     1     43.84091955784    -54.14347172830        0
   768.554   729.165     27.2761    0.679     2     26.0561    9.900     1     43.84094915793    -54.14339649030        0
   795.641   646.793     30.9111    9.900     1     28.4081    0.877     2     43.84159014178    -54.14454055876        1
   800.219   705.916     32.8921    0.057     2     30.7501    9.900     1     43.84169956587    -54.14371938843        0
   815.542   603.018     30.4021    9.900     1     33.0021    9.900     1     43.84206134668    -54.14514854983        1
   830.060   651.909     27.9851    0.201     2     27.7801    9.900     1     43.84240628859    -54.14446948994        0
   833.635   660.435     29.4451    9.900     1     29.1401    9.900     1     43.84249117607    -54.14435106974        0
   812.357   668.543     29.6511    9.900     1     28.0301    9.900     1     43.84198679852    -54.14423846378        0
   829.339   676.165     33.9021    9.900     1     29.7691    9.900     1     43.84238954920    -54.14413259475        0
   846.586   610.654     30.2771    9.900     1     28.9711    0.196     2     43.84279751921    -54.14504248149        1
   852.010   603.535     29.7311    9.900     1     29.6251    0.843     2     43.84292602036    -54.14514135654        0
   860.408   601.546     28.3111    1.478     2     27.2491    0.802     2     43.84312511053    -54.14516897918        0
   857.831   601.167     28.7261    1.080     2     27.8571    9.900     1     43.84306400366    -54.14517424406        0
   860.839   599.882     28.6341    0.798     2     27.6641    9.900     1     43.84313530570    -54.14519209060        0
   857.183   637.383     29.6061    9.900     1     28.6041    2.172     2     43.84304916210    -54.14467123450        0
   858.762   640.913     31.0521    9.900     1     33.0021    9.900     1     43.84308665109    -54.14462220523        1
   847.650   677.083     29.5981    9.900     1     33.0021    9.900     1     43.84282371066    -54.14411983818        0
   849.384   702.084     31.0341    1.864     2     29.3271    0.397     2     43.84286518562    -54.14377259472        0
   851.738   688.032     30.1651    0.159     2     29.4251    9.900     1     43.84292079433    -54.14396776437        0
   858.022   713.938     30.9201    9.900     1     29.9391    9.900     1     43.84307015914    -54.14360794965        0
   874.405   597.727     31.0631    9.900     1     28.3741    1.810     2     43.84345692878    -54.14522201705        1
   886.745   662.216     28.3931    9.900     1     27.1981    9.900     1     43.84375042964    -54.14432631482        0
   886.658   663.806     28.4281    9.900     1     27.6671    9.900     1     43.84374838947    -54.14430423108        0
   905.225   689.148     30.4351    2.184     2     29.1781    9.900     1     43.84418896517    -54.14395224561        0
   937.379   646.725     31.0531    9.900     1     25.9751    3.716     2     43.84495073802    -54.14454145430        0
   925.892   669.948     29.8241    9.900     1     30.5181    9.900     1     43.84467870460    -54.14421891033        0
   925.846   675.695     32.7811    9.900     1     30.4691    0.517     2     43.84467769375    -54.14413908935        0
   930.633   686.277     29.1101    1.124     2     29.6631    9.900     1     43.84479133860    -54.14399211261        0
   921.491   705.168     29.3281    1.368     3     28.8131    0.892     2     43.84457484832    -54.14372973566        1
   927.661   721.506     30.0551    3.636     2     28.6851    9.900     1     43.84472136231    -54.14350281245        1
   928.535   733.441     33.9021    5.038     2     29.2181    2.127     3     43.84474224973    -54.14333704504        0
   932.286   714.889     29.8191    9.900     1     29.4701    9.900     1     43.84483092642    -54.14359471542        0
   932.957   717.969     30.0461    9.900     1     29.4041    9.900     1     43.84484687801    -54.14355193658        0
   952.855   613.024     27.1171    0.421     3     26.1811    0.173     3     43.84531721206    -54.14500952751        0
   962.049   608.023     27.2101    0.226     3     26.5301    0.179     3     43.84553513556    -54.14507898402        0
   955.491   612.056     27.7371    0.145     2     27.0761    0.426     2     43.84537969891    -54.14502297130        0
   959.307   609.067     28.5641    9.900     1     27.2981    0.755     2     43.84547013632    -54.14506448468        0
   948.374   624.370     30.2931    0.664     2     28.9621    0.191     2     43.84521112221    -54.14485194266        0
   955.967   656.450     28.7661    9.900     1     29.6931    0.451     2     43.84539159081    -54.14440637581        0
   955.375   684.376     30.9681    0.754     2     28.7201    3.110     2     43.84537793581    -54.14401850736        0
   943.610   701.997     30.4761    0.280     2     33.0021    9.900     1     43.84509923427    -54.14377377055        0
   962.447   736.337     30.3851    9.900     1     29.3431    9.900     1     43.84554631667    -54.14329681033        0
   974.474   605.051     28.3401    0.534     2     27.8921    9.900     1     43.84582969507    -54.14512025831        1
   981.667   659.882     28.0711    1.593     2     29.8991    9.900     1     43.84600098001    -54.14435869935        1
   963.978   641.479     32.4181    9.900     1     30.1111    0.052     2     43.84558132704    -54.14461430765        1
   981.873   684.883     31.1021    9.900     1     31.1471    9.900     1     43.84600620027    -54.14401145641        1
   963.701   710.114     29.7681    0.624     2     28.8071    9.900     1     43.84557569180    -54.14366102532        0
   983.377   698.917     30.7791    9.900     1     28.4801    9.900     1     43.84604204799    -54.14381653544        0
   984.114   737.306     29.8881    2.073     2     25.1071    2.824     2     43.84606003717    -54.14328334426        0
  1005.957   589.656     30.3851    9.900     1     28.9471    9.900     1     43.84657596107    -54.14533407105        0
  1007.047   659.161     31.4161    3.092     2     31.9521    9.900     1     43.84660272569    -54.14436870467        1
  1009.091   641.156     28.2171    0.831     3     27.1331    9.900     1     43.84665095047    -54.14461877828        0
   988.566   688.318     30.7711    9.900     1     28.2941    1.169     3     43.84616493474    -54.14396374484        1
  1007.546   684.367     28.5221    0.815     3     27.7311    9.900     1     43.84661489053    -54.14401861436        1
   996.337   689.367     33.9021    9.900     1     28.8301    3.058     2     43.84634919597    -54.14394917243        0
